Archivo;Tipo;Fecha;Número de Factura;Emisor;Cliente;CIF;Modelo;Matricula;Base;IVA;Importe;Tasas
6150KYY(Factu) volkswagen renting.pdf;COMPRA;No encontrada;N;VOLKSWAGEN RENTING. S.A.;NEW SATELITE. S.L.;A80185051;No encontrado;Volkswagen;0.00;21.00;0.00;0.00
25-NEW SATELITE S.L.junio 2025_amor.pdf;COMPRA;05/06/2025;FG-25/2025;Hermanas del Amor de Dios Casa General;NEW SATELITE. S.L.;B85629020;No encontrado;FACTURA;700.00;21.00;847.00;0.00
21-NEW SATELITE S.L. mayo 2025_hermanas_amor.pdf;COMPRA;05/05/2025;FG-21/2025;Hermanas del Amor de Dios Casa General;NEW SATELITE. S.L.;B85629020;No encontrado;FACTURA;700.00;21.00;847.00;0.00
17-NEW SATELITE S.L. abril 2025_amor de dios.pdf;COMPRA;05/04/2025;FG-17/2025;Hermanas del Amor de Dios Casa General;NEW SATELITE. S.L.;B85629020;No encontrado;FACTURA;700.00;21.00;847.00;0.00
001-ALM-010-50131069-131553-6694223_stellantis.pdf;COMPRA;31/03/2025;50131069;Placas de Piezas y Componentes de Recambio. S. A. U;NEW SATELITE. S.L.;A87527800;No encontrado;Placas;103.20;21.00;124.87;0.00
